# z       Lx0124      eLx         LAMBDACHISQ   LAMBDACHISQE  
  0.23    4.4014E44   5.8046E43   5.465494      1.7054499     
  0.278   8.9171E43   3.3188E43   8.577509      1.9780555     
  0.077   2.1853E43   4.4134E42   5.068865      1.5113223     
  0.56    5.0864E44   1.6276E44   26.380064     16.127388     
  0.103   1.6596E43   5.1412E42   32.558327     2.1258698     
  0.315   1.2094E44   4.3428E43   74.768845     3.9058325     
  0.347   3.554E44    8.7661E43   26.09022      2.8966014     
  0.112   2.9551E43   7.0311E42   28.3327       1.8479202     
  0.595   4.0659E44   1.6367E44   10.469126     17.206161     
  0.602   4.9739E44   1.7687E44   7.296091      10.313399     
  0.251   1.0301E44   3.4176E43   6.136713      1.7677839     
  0.525   3.2928E44   1.2787E44   7.7689953     8.691809      
  0.29    1.2131E44   4.0448E43   6.762167      1.7538657     
  0.275   1.487E44    4.4059E43   16.204996     2.4836583     
  0.399   2.4608E44   1.3521E44   8.608019      3.0200965     
  0.437   1.5599E44   8.22E43     66.02774      9.659854      
  0.34    4.5294E44   9.7197E43   83.46418      4.1061454     
  0.268   1.5136E44   4.4844E43   40.99433      5.963228      
  0.275   1.5675E44   7.6311E43   7.9368        1.9567715     
  0.268   8.5726E43   4.934E43    7.1740513     1.6763859     
  0.599   3.7262E44   1.8088E44   8.379194      41.280693     
  0.529   3.8972E44   1.5082E44   8.318174      24.8186       
  0.151   4.2303E43   1.3505E43   45.006386     3.3416002     
  0.066   2.1176E43   4.6084E42   10.240301     1.0320628     
  0.276   1.5231E44   4.2154E43   13.199766     2.0573587     
  0.209   7.0918E43   2.1715E43   26.18175      2.1283996     
  0.516   6.1597E44   2.3341E44   12.559057     10.257577     
  0.231   1.1774E44   3.0599E43   29.431059     2.734057      
  0.185   3.3965E43   1.3809E43   10.423361     1.7252486     
  0.346   8.7866E43   4.2674E43   5.7095737     1.8236946     
  0.202   7.5924E43   2.1052E43   19.332266     2.2589521     
  0.222   4.354E43    1.9032E43   18.676302     2.1033053     
  0.232   7.916E43    2.8016E43   11.765799     2.0859718     
  0.468   2.1925E44   9.1847E43   16.906725     6.9081078     
  0.098   1.2377E43   5.1641E42   5.465494      1.0540483     
  0.1     2.1996E43   5.6833E42   24.427427     1.6654415     
  0.555   4.1606E44   1.4834E44   11.445444     17.096018     
  0.597   5.7459E44   1.9E44      5.557024      10.490949     
  0.23    7.1388E43   2.4278E43   11.872583     2.283821      
  0.433   2.9368E44   9.0345E43   8.531744      5.8939443     
  0.477   9.6948E44   2.093E44    9.187708      5.4478908     
  0.613   3.5219E44   1.5331E44   6.075693      23.908775     
  0.262   1.2109E44   3.7065E43   10.530146     2.2755435     
  0.309   1.5956E44   5.0658E43   17.364374     4.19431       
  0.139   2.3942E43   9.5757E42   8.18088       1.2890546     
  0.241   5.9616E43   2.5399E43   11.460699     1.6715947     
  0.447   2.0663E44   8.1201E43   42.9012       16.191944     
  0.248   1.0242E44   3.2698E43   8.806334      2.463963      
  0.076   6.1767E42   3.2012E42   6.5028324     1.3334969     
  0.459   2.8299E44   9.9373E43   102.2278      13.48659      
  0.401   3.4301E44   8.4659E43   64.54801      6.6340733     
  0.119   2.7601E43   7.8382E42   5.694319      1.5490386     
  0.623   5.8447E44   1.6468E44   28.36321      26.489336     
  0.326   7.1246E43   3.2928E43   5.557024      1.6193845     
  0.4     1.9535E44   7.631E43    6.3502827     2.6549275     
  0.381   1.9841E44   5.8832E43   8.455469      2.3845334     
  0.63    3.5574E44   2.0338E44   14.298124     19.739105     
  0.111   2.4679E43   7.5169E42   6.868952      1.4993333     
  0.102   6.3242E43   9.4665E42   13.809965     2.6489205     
  0.482   2.1561E44   8.5331E43   22.29173      9.266364      
  0.241   1.0599E44   6.7278E43   7.90629       1.4320992     
  0.593   4.9834E44   1.6688E44   23.435854     22.49653      
  0.117   5.1025E43   8.8512E42   15.259188     2.2656758     
  0.572   2.602E44    1.8596E44   13.016706     23.682583     
  0.556   4.3485E44   1.4366E44   5.434984      7.439739      
  0.065   8.2147E42   2.7546E42   10.072496     1.679929      
  0.17    2.2279E44   2.412E43    50.467667     2.553214      
  0.598   3.3954E44   1.4847E44   5.099375      13.7053385    
  0.085   1.6823E43   4.9813E42   7.372366      1.5841949     
  0.43    1.9403E44   1.1259E44   10.97254      4.277659      
  0.221   6.7373E43   2.4348E43   8.775824      1.9875954     
  0.5     1.0161E45   1.8319E44   18.432222     11.772532     
  0.587   4.5152E44   1.4622E44   12.299723     31.077978     
  0.567   2.6083E44   1.0809E44   27.676737     18.020927     
  0.318   2.2763E44   9.3347E43   6.151968      1.5531181     
  0.131   2.6451E43   1.1501E43   7.891035      1.432672      
  0.392   2.975E44    7.2679E43   7.0672665     2.3969243     
  0.547   3.0647E44   1.0961E44   10.087751     10.770133     
  0.238   4.9927E43   2.0423E43   35.31948      2.9497817     
  0.346   1.2372E44   4.3481E43   5.2214146     1.4751204     
  0.138   2.8557E44   2.2042E43   60.04779      2.6742036     
  0.553   2.7744E44   1.1045E44   8.638529      8.913192      
  0.491   3.7643E44   1.575E44    18.905127     8.467635      
  0.222   1.1908E44   2.3922E43   9.4165325     2.1441436     
  0.37    1.1985E44   4.6731E43   11.109835     2.6334856     
  0.611   2.5236E44   1.1874E44   6.3350277     37.19697      
  0.443   8.6088E43   5.4526E43   9.172453      3.482262      
  0.516   2.7785E44   1.0365E44   24.808802     13.100655     
  0.335   2.482E44    5.2997E43   81.404755     4.4077735     
  0.543   1.1336E45   2.0613E44   21.544237     24.21181      
  0.142   4.6794E43   1.0565E43   28.134386     1.8732762     
  0.313   8.0788E43   3.0953E43   6.060438      1.6663187     
  0.36    1.8455E44   8.4264E43   13.70318      2.800783      
  0.341   2.0578E44   6.5223E43   34.907593     3.4231358     
  0.11    1.6677E43   4.9023E42   7.5096607     1.5384605     
  0.536   3.4749E44   1.4E44      9.584337      10.039773     
  0.611   5.2774E44   2.6095E44   5.8468685     12.621039     
  0.624   3.3991E44   1.4531E44   6.029928      13.780307     
  0.116   1.5565E43   5.3664E42   9.050413      1.6411897     
  0.592   4.1672E44   1.4513E44   8.577509      14.759361     
  0.401   2.4106E44   6.7586E43   36.03646      7.8366613     
  0.052   3.915E42    1.279E42    6.4875774     0.7684023     
  0.34    1.2682E44   6.6E43      6.731657      1.5934635     
  0.299   1.4112E44   6.9739E43   31.627775     4.5091257     
  0.308   4.1793E44   6.8097E43   38.324707     3.7402334     
  0.34    1.1218E44   4.1487E43   6.9909916     1.6264671     
  0.305   5.0324E44   6.4624E43   10.453871     2.0910468     
  0.528   3.947E44    1.5558E44   10.484381     8.028424      
  0.462   1.5798E44   6.6006E43   5.038355      3.9652774     
  0.383   1.2877E44   4.8219E43   25.84614      3.9214234     
  0.308   1.2785E44   3.4575E43   48.16417      4.2175255     
  0.6     2.1461E44   1.0235E44   5.557024      12.434989     
  0.258   1.3087E44   5.4049E43   7.9368        1.9014639     
  0.584   4.0868E44   1.2999E44   6.121458      29.611412     
  0.393   1.3041E44   4.8911E43   6.716402      2.3512647     
  0.552   6.3838E44   2.3E44      23.725698     16.444899     
  0.075   2.2083E43   4.1786E42   7.99782       1.0278964     
  0.238   8.964E43    4.0678E43   18.477987     2.8555446     
  0.34    7.8208E43   3.2351E43   7.1740513     1.7863595     
  0.462   2.1942E44   1.1415E44   5.2366695     4.355708      
  0.22    1.1012E44   3.8011E43   9.477552      1.9401408     
  0.061   5.4105E42   2.1392E42   9.614847      1.3101789     
  0.313   8.4129E43   3.2935E43   10.118261     1.9948163     
  0.242   1.0988E44   2.9123E43   67.00406      3.3434236     
  0.61    4.4833E44   1.4679E44   10.209791     19.278246     
  0.164   4.3085E43   1.746E43    5.2214146     1.5583711     
  0.27    8.5884E43   3.0225E43   17.04402      4.1144834     
  0.328   1.7453E44   4.7678E43   62.854706     4.259638      
  0.59    3.2349E44   1.5755E44   42.76391      26.271368     
  0.637   4.5403E44   2.5492E44   15.625307     22.795418     
  0.369   1.9753E44   4.946E43    56.844246     6.5354705     
  0.076   1.8662E43   2.8734E42   11.521719     1.2013254     
  0.292   5.8103E43   2.0579E43   7.7842503     1.8739926     
  0.115   2.0782E43   5.0593E42   7.96731       1.4683628     
  0.523   1.744E44    6.8981E43   5.038355      6.542622      
  0.431   2.4955E44   5.9904E43   8.455469      3.497773      
  0.358   1.8764E44   4.7113E43   5.3281994     1.6763788     
  0.326   9.1101E43   2.5979E43   8.8368435     2.8093884     
  0.596   3.5628E44   1.3479E44   25.113901     75.789154     
  0.328   1.5892E44   3.4888E43   71.62632      6.2632537     
  0.562   5.9172E44   1.5191E44   10.926775     10.517785     
  0.559   5.0875E44   1.0204E44   82.86923      28.647585     
  0.536   2.2847E44   7.6588E43   14.679499     10.918123     
  0.511   2.7735E44   7.783E43    5.526514      4.9948153     
  0.559   1.7157E44   7.9898E43   58.217194     34.79817      
  0.592   2.7863E44   8.6421E43   73.82304      35.653305     
  0.265   4.1794E43   1.8192E43   6.3807926     2.9557197     
  0.523   3.5174E44   1.7676E44   30.788752     13.781876     
  0.214   3.9401E43   1.053E43    24.183348     2.9186692     
  0.341   1.1719E44   4.3614E43   10.66744      2.0181499     
  0.21    1.5459E43   7.7074E42   20.964548     2.1880972     
  0.62    2.3167E44   8.7764E43   6.258753      13.772412     
  0.389   2.0918E44   5.4743E43   5.8468685     2.0332398     
  0.091   6.9793E42   2.2184E42   5.511259      1.1921469     
  0.547   1.5309E44   8.7673E43   8.363939      7.5032415     
  0.429   2.4753E44   5.3185E43   5.068865      2.5138962     
  0.258   5.6698E43   1.9707E43   24.244368     3.0460596     
  0.299   1.1549E44   2.8285E43   28.592035     3.1563604     
  0.581   3.3295E44   1.0942E44   9.462297      48.28704      
  0.271   5.2103E43   2.0698E43   6.9299717     1.806458      
